Episode191 TotalReward=-34.197376233687265 AverageLoss=39.4077322359 AverageValue=[[-8.38677883 -8.71451759]]
Episode192 TotalReward=-29.28999999999999 AverageLoss=46.7277597801 AverageValue=[[-8.59626579 -8.37242031]]
Episode193 TotalReward=-33.249999999999986 AverageLoss=62.2990248668 AverageValue=[[-7.30001163 -7.25704288]]
Episode194 TotalReward=-16.37 AverageLoss=39.250485236 AverageValue=[[ 11.23520565  11.31668282]]
Episode195 TotalReward=-28.779999999999987 AverageLoss=39.8256278344 AverageValue=[[ 2.8857367   2.96438503]]
Episode196 TotalReward=-32.8164275065505 AverageLoss=48.7016923959 AverageValue=[[-7.03497314 -6.89408255]]
Episode197 TotalReward=-27.81999999999999 AverageLoss=37.5467522277 AverageValue=[[-10.5703783  -10.37291336]]
Episode198 TotalReward=-34.23999999999998 AverageLoss=67.7734753433 AverageValue=[[-6.95771217 -6.77352381]]
Episode199 TotalReward=-25.665066549873973 AverageLoss=19.9893624032 AverageValue=[[-8.3362999  -9.13388252]]
Episode200 TotalReward=-17.55540394933594 AverageLoss=33.3084684549 AverageValue=[[-7.02309799 -7.12017965]]
Episode201 TotalReward=-46.78157907590115 AverageLoss=61.5456238362 AverageValue=[[ 9.56992722  9.63458347]]
Episode202 TotalReward=-155.04522815100404 AverageLoss=38.0026811718 AverageValue=[[-4.226367   -4.18364906]]
Episode203 TotalReward=-260.41481199470843 AverageLoss=54.5461975463 AverageValue=[[-6.99768925 -6.98145056]]
Episode204 TotalReward=-29.73999999999998 AverageLoss=45.365581635 AverageValue=[[-9.37891483 -9.11207867]]
Episode205 TotalReward=-41.59594877114071 AverageLoss=53.3715867001 AverageValue=[[-7.80260134 -7.82304335]]
Episode206 TotalReward=-52.28852227366378 AverageLoss=28.8598065571 AverageValue=[[-8.84174061 -9.00627518]]
Episode207 TotalReward=-58.2591427260405 AverageLoss=34.8568648203 AverageValue=[[-3.94623709 -4.05547619]]
Episode208 TotalReward=-42.269999999999996 AverageLoss=69.3095131914 AverageValue=[[-8.72646713 -8.81900692]]
Episode209 TotalReward=-28.77999999999999 AverageLoss=45.7884795898 AverageValue=[[-7.58824587 -7.28246403]]
Episode210 TotalReward=-70.6265003950692 AverageLoss=23.6903939115 AverageValue=[[-7.91077185 -8.1148653 ]]
Episode211 TotalReward=-58.44275903693533 AverageLoss=38.2408162016 AverageValue=[[-5.20831299 -5.19874525]]
Episode212 TotalReward=-211.14010693325307 AverageLoss=34.5253178229 AverageValue=[[-5.78487587 -5.93440151]]
Episode213 TotalReward=-215.51980519273818 AverageLoss=2956.52535541 AverageValue=[[-1.67407072 -1.95256412]]
Episode214 TotalReward=-469.4622254931419 AverageLoss=36.4339124176 AverageValue=[[-4.4046278  -4.68812847]]
Episode215 TotalReward=-560.9785425925379 AverageLoss=88.3827640629 AverageValue=[[-12.54988575 -12.84717178]]
Episode216 TotalReward=-96.48035919050511 AverageLoss=48.4076060624 AverageValue=[[-1.454072   -1.75449133]]
Episode217 TotalReward=-234.0692934564933 AverageLoss=44.3358406723 AverageValue=[[-7.0337429  -7.31460857]]
Episode218 TotalReward=-291.31803868485576 AverageLoss=45.2450871614 AverageValue=[[-1.5752244  -1.88558447]]
Episode219 TotalReward=-251.23633281981805 AverageLoss=34.5861633844 AverageValue=[[-2.17072606 -2.15502453]]
Episode220 TotalReward=-311.52472628632404 AverageLoss=44.3872606995 AverageValue=[[-1.71885741 -1.8760649 ]]
Episode221 TotalReward=-165.55350314212603 AverageLoss=57.9442266115 AverageValue=[[ 3.27437139  3.11524534]]
Episode222 TotalReward=-61.88000000000004 AverageLoss=26.3874112032 AverageValue=[[-5.1355896  -4.98640633]]
Episode223 TotalReward=-53.95169809307956 AverageLoss=43.4919109106 AverageValue=[[-3.38414931 -3.42431784]]
Episode224 TotalReward=-377.46878340122856 AverageLoss=61.100675585 AverageValue=[[-3.89949346 -4.04782009]]
Episode225 TotalReward=-84.61999999999995 AverageLoss=49.1282387267 AverageValue=[[ 4.87986755  4.63473034]]
Episode226 TotalReward=-197.34574413366374 AverageLoss=96.1476942455 AverageValue=[[ 1.26404881  1.15216112]]
Episode227 TotalReward=-27.80999999999999 AverageLoss=85.8646027701 AverageValue=[[-3.70871353 -3.62909889]]
Episode228 TotalReward=-182.33104733107442 AverageLoss=29.9949582485 AverageValue=[[ 5.14319324  5.06515741]]
Episode229 TotalReward=-122.25306932994648 AverageLoss=39.5516551168 AverageValue=[[-1.87694681 -1.67027676]]
Episode230 TotalReward=-23.899999999999995 AverageLoss=42.2532890334 AverageValue=[[-4.04447412 -4.05978107]]
Episode231 TotalReward=-202.3850000000004 AverageLoss=68.4004892238 AverageValue=[[ 5.7155385   5.52565384]]
Episode232 TotalReward=-325.21984373173007 AverageLoss=62.4017709313 AverageValue=[[-1.88442135 -2.56901312]]
Episode233 TotalReward=-48.742307842175684 AverageLoss=34.3880977035 AverageValue=[[-2.34013081 -2.28823018]]
Episode234 TotalReward=-271.207130934761 AverageLoss=43.2198285798 AverageValue=[[-1.31298542 -1.41176069]]
Episode235 TotalReward=-262.41133424166986 AverageLoss=38.0469681842 AverageValue=[[ 3.05908871  2.45417905]]
